BLER,MCS
0.206816, 18
0.050105, 6
0.189554, 15
0.045095, 6
0.170598, 12
0.045347, 9
0.153538, 9
0.040812, 12
0.138185, 6
0.036731, 15
0.124366, 6
0.038321, 18
0.111929, 6
0.107216, 21
0.100736, 6
0.196495, 21
0.090663, 6
0.183988, 18
0.081597, 6
0.165589, 15
0.073437, 6
0.149030, 12
0.066093, 6
0.140010, 12
0.059484, 6
0.126009, 12
0.053535, 6
0.113408, 12
0.048182, 6
0.102067, 12
0.043364, 9
0.091860, 12
0.039027, 12
0.082674, 12
0.035125, 15
0.074407, 12
0.122088, 18
0.066966, 12
0.203322, 18
0.060270, 12
0.185532, 15
0.054243, 12
0.166979, 12
0.048818, 12
0.150281, 9
0.043937, 15
0.135253, 6
0.045425, 18
0.121728, 6
0.140883, 21
0.109555, 6
0.226794, 21
0.098599, 6
0.209671, 18
0.088740, 6
0.188704, 15
0.079866, 6
0.169833, 12
0.071879, 6
0.152850, 9
0.064691, 6
0.137565, 6
0.058222, 6
0.153220, 6
0.052400, 6
0.142660, 6
0.047160, 6
0.128394, 6
0.042444, 9
0.115555, 6
0.038199, 12
0.107225, 6
0.034380, 15
0.096502, 6
0.122877, 18
0.086852, 6
0.205671, 18
0.078167, 6
0.187647, 15
0.073684, 6
0.168882, 12
0.066315, 6
0.151994, 9
0.068775, 6
0.136794, 6
0.061897, 6
0.123115, 6
0.083485, 6
0.110803, 6
0.090137, 6
0.099723, 6
0.086123, 6
0.089751, 6
0.099733, 6
0.080776, 6
0.099283, 6
0.072698, 6
0.089355, 6
0.065428, 6
0.085420, 6
0.058885, 6
0.076878, 6
0.052997, 6
0.074190, 6
0.047697, 6
0.074771, 6
0.042927, 9
0.067294, 6
0.038635, 12
0.060564, 6
0.034771, 15
0.054508, 6
0.120183, 18
0.049057, 6
0.203247, 18
0.048318, 9
0.186341, 15
0.043486, 12
0.167707, 12
0.039138, 15
0.150936, 9
0.051891, 18
0.135842, 6
0.060987, 18
0.122258, 6
0.079889, 18
0.110032, 6
0.085233, 18
0.099029, 6
0.089210, 18
0.089126, 6
0.092789, 18
0.080214, 6
0.100177, 18
0.072192, 6
0.111587, 18
0.064973, 6
