BLER,MCS
0.000000, 9
0.000000, 9
0.000000, 9
0.000000, 9
0.021850, 12
0.000000, 9
0.000000, 10
0.000000, 9
0.000000, 9
0.000000, 9
0.000000, 9
0.000000, 9
0.000000, 9
0.000000, 9
0.000000, 9
0.019665, 11
0.000000, 9
0.000000, 9
0.000000, 9
0.000000, 9
0.000000, 9
0.000000, 9
0.000000, 9
0.000000, 9
0.000000, 9
0.000000, 9
0.017699, 10
0.000000, 9
0.000000, 9
0.000000, 9
0.000000, 9
0.000000, 9
0.000000, 9
0.000000, 9
0.000000, 9
0.000000, 9
0.000000, 9
0.015929, 9
0.000000, 9
0.000000, 9
0.000000, 9
0.000000, 9
0.000000, 9
0.000000, 9
0.000000, 9
0.000000, 9
0.000000, 9
0.000000, 9
0.014336, 9
0.000000, 9
0.000000, 9
0.000000, 9
0.000000, 9
0.000000, 9
0.000000, 9
0.000000, 9
0.000000, 9
0.000000, 9
0.000000, 9
0.012902, 9
0.000000, 9
0.000000, 9
0.000000, 9
0.000000, 9
0.000000, 9
0.000000, 9
0.000000, 9
0.000000, 9
0.000000, 9
0.000000, 9
0.011612, 9
0.000000, 9
0.000000, 9
0.000000, 9
0.000000, 9
0.000000, 9
0.000000, 9
0.000000, 9
0.000000, 9
0.000000, 9
0.000000, 9
0.010451, 9
0.000000, 9
0.000000, 9
0.000000, 9
0.000000, 9
0.000000, 9
0.000000, 9
0.000000, 9
0.000000, 9
0.000000, 9
0.000000, 9
0.009406, 9
0.000000, 9
0.000000, 9
0.000000, 9
0.000000, 9
0.000000, 9
0.000000, 9
0.008465, 9
0.000000, 9
0.007619, 9
0.000000, 9
0.006857, 10
0.000000, 10
0.006171, 11
0.000000, 11
0.005554, 12
0.000000, 12
0.004999, 13
0.000000, 13
0.004499, 14
0.000000, 14
0.004049, 15
0.000000, 15
0.003644, 16
0.000000, 16
0.003280, 17
0.000000, 17
0.002952, 18
0.011111, 18
0.002656, 19
0.076667, 19
0.002391, 20
0.156500, 19
0.002152, 21
0.160850, 18
0.001937, 22
0.154765, 17
0.001743, 23
0.139289, 16
0.002402, 24
0.125360, 16
0.014199, 25
0.112824, 16
0.101668, 26
0.101541, 16
0.183437, 26
0.091387, 16
0.184895, 25
0.082248, 16
0.168926, 24
0.074024, 16
0.152867, 23
0.066621, 16
0.137580, 22
0.064721, 16
0.123822, 22
0.063804, 16
0.111440, 22
0.057424, 16
0.100296, 22
0.051682, 16
0.090266, 22
0.046513, 16
0.081240, 22
0.041862, 17
0.073116, 22
0.066247, 18
0.065804, 22
0.070149, 18
0.059224, 22
0.073134, 18
0.054135, 22
0.071084, 18
0.048721, 22
0.068975, 18
0.043849, 23
0.066623, 18
0.039464, 24
0.064961, 18
0.049669, 25
0.064347, 18
0.135024, 26
0.057913, 18
0.216604, 26
0.064621, 18
0.211290, 25
0.058159, 18
0.191841, 24
0.058226, 18
0.176047, 23
0.071451, 18
0.158442, 22
0.078591, 18
0.142598, 21
0.075995, 18
0.128338, 21
0.073396, 18
0.115505, 21
0.075580, 18
0.103954, 21
0.091551, 18
0.093559, 21
0.110174, 18
0.084203, 21
0.104157, 18
0.075783, 21
0.098741, 18
0.068204, 21
0.105534, 18
0.061384, 21
0.104980, 18
0.055245, 21
0.105009, 18
0.049721, 21
0.099771, 18
0.044749, 22
0.094794, 18
0.040274, 23
0.100314, 18
0.037927, 24
0.090283, 18
0.054927, 25
0.081255, 18
0.063585, 25
0.069263, 25
0.089796, 18
0.077575, 25
0.091343, 18
0.083836, 25
0.087764, 18
0.087490, 25
0.084543, 18
0.090778, 25
0.097141, 18
0.099176, 25
0.098538, 18
0.105449, 25
0.093684, 18
0.112380, 25
0.094316, 18
0.111142, 25
0.096649, 18
0.113112, 25
0.103651, 18
0.110729, 25
0.102810, 18
0.112740, 25
0.113581, 18
0.114550, 25
0.130795, 18
0.117246, 25
0.122715, 18
0.111609, 25
0.119535, 18
0.117923, 25
0.120081, 18
0.122477, 25
0.113073, 18
0.120229, 25
0.106528, 18
0.119116, 25
0.101430, 18
0.124680, 25
0.097954, 18
0.132014, 25
0.105806, 18
0.141035, 25
0.095225, 18
0.135860, 25
0.095703, 18
0.134311, 25
0.097243, 18
0.131889, 25
0.099284, 18
0.136176, 25
0.114355, 18
0.134485, 25
0.138214, 18
0.134120, 25
0.144393, 18
0.133916, 25
0.129953, 18
0.140326, 25
0.116958, 18
0.143601, 25
0.126691, 18
0.145908, 25
0.129811, 18
0.147663, 25
0.127356, 18
0.148135, 25
0.124145, 18
0.142250, 25
0.129121, 18
0.147827, 25
0.126209, 18
0.148282, 25
0.124115, 18
0.148692, 25
0.122814, 18
0.151299, 25
0.123866, 18
0.137850, 24
0.116480, 18
0.124898, 24
0.119832, 18
0.112408, 24
0.124515, 18
0.103688, 24
0.139841, 18
0.094153, 24
0.135857, 18
0.086418, 24
0.132798, 18
0.079457, 24
0.151097, 18
0.076684, 24
0.135987, 17
0.069015, 24
0.122389, 17
0.062947, 24
0.110150, 17
0.060071, 24
0.099135, 17
0.054891, 24
0.089221, 17
0.051944, 24
0.080299, 17
0.047583, 24
0.072269, 17
0.056976, 25
0.065042, 17
0.071278, 25
0.058538, 17
0.082778, 25
0.052684, 17
0.090034, 25
0.047416, 17
0.095181, 25
0.061722, 18
0.096572, 25
0.055550, 18
0.101066, 25
0.071047, 18
0.100959, 25
0.075707, 18
0.102901, 25
0.073692, 18
0.108801, 25
0.083970, 18
0.112072, 25
0.085573, 18
0.113949, 25
0.115638, 25
0.087542, 18
0.119169, 25
0.089899, 18
0.123598, 25
0.086172, 18
0.124322, 25
0.096603, 18
0.130517, 25
0.098053, 18
0.132560, 25
0.093010, 18
0.131568, 25
0.101356, 18
0.133649, 25
0.114750, 18
0.133369, 25
0.103275, 18
0.142032, 25
0.107233, 18
0.143067, 25
0.096510, 18
0.145106, 25
0.095554, 18
0.141605, 25
0.097764, 18
0.144752, 25
0.099098, 18
0.151277, 25
0.095855, 18
0.136982, 24
0.086270, 18
0.124965, 24
0.088754, 18
0.079879, 18
0.071891, 18
0.116416, 24
0.064702, 17
0.058231, 16
0.052408, 15
0.047167, 14
0.042451, 13
0.038206, 12
0.034385, 11
0.030947, 10
0.027852, 9
0.025067, 9
0.104774, 24
0.022560, 9
0.020304, 9
0.018274, 9
0.016446, 9
0.014802, 9
0.013321, 9
0.011989, 9
0.010790, 9
0.009711, 9
0.008740, 9
0.094297, 23
0.007866, 9
0.007080, 9
0.006372, 9
0.005734, 9
0.005161, 9
0.004645, 9
0.004180, 9
0.003762, 9
0.003386, 9
0.003048, 9
0.084867, 22
0.002743, 9
0.002468, 9
0.002222, 9
0.001999, 9
0.001800, 9
0.001620, 9
0.001458, 9
0.001312, 9
0.001181, 9
0.001063, 9
0.076380, 21
0.000956, 9
0.000861, 9
0.000775, 9
0.000697, 9
0.000627, 9
0.000565, 9
0.000508, 9
0.000457, 9
0.000412, 9
0.000371, 9
0.068742, 20
0.000333, 9
0.000300, 9
0.000270, 9
0.000243, 9
0.000219, 9
0.000197, 9
0.000177, 9
0.000159, 9
0.000144, 9
0.000129, 9
0.061868, 19
0.000116, 9
0.000105, 9
0.000094, 9
0.000085, 9
0.000076, 9
0.000069, 9
0.000062, 9
0.000056, 9
0.000050, 9
0.000045, 9
0.055681, 18
0.000041, 9
0.000036, 9
0.000033, 9
0.000030, 9
0.000027, 9
0.000024, 9
0.000022, 9
0.000019, 9
0.050113, 17
0.000017, 9
0.045102, 16
0.000016, 10
0.040592, 17
0.000014, 11
0.036532, 18
0.000013, 12
0.032879, 19
0.000011, 13
0.029591, 20
0.000010, 14
0.026632, 21
0.000009, 15
0.023969, 22
0.000008, 16
0.021572, 23
0.010534, 17
0.022834, 24
0.031220, 18
0.031459, 25
0.086921, 19
0.117202, 26
0.124896, 19
0.191636, 26
0.179073, 19
0.194695, 25
0.166166, 18
0.179499, 24
0.154549, 17
0.161549, 23
0.139094, 16
0.145394, 22
0.125185, 16
0.130855, 22
0.112666, 16
0.117769, 22
0.101400, 16
0.105992, 22
0.095607, 16
0.095393, 22
0.086047, 16
0.085854, 22
0.077442, 16
0.077268, 22
0.069698, 16
0.069541, 22
0.062728, 16
0.062587, 22
0.056455, 16
0.056329, 22
0.050810, 16
0.050696, 22
0.045729, 16
0.045626, 22
0.041156, 17
0.041064, 23
0.041802, 18
0.037790, 24
0.099160, 19
0.050202, 25
0.136303, 19
0.058266, 25
0.066590, 25
0.191423, 19
0.073015, 25
0.185324, 18
0.078677, 25
0.171337, 17
0.078845, 25
0.154203, 16
0.087306, 25
0.138783, 15
0.093814, 25
0.124905, 15
0.093361, 25
0.112414, 15
0.098176, 25
0.101173, 15
0.106986, 25
0.091056, 15
0.112633, 25
0.081950, 15
0.119817, 25
0.073755, 15
0.120919, 25
0.066380, 15
0.122978, 25
0.059742, 15
0.124831, 25
0.053767, 15
0.126367, 25
0.048391, 15
0.127881, 25
0.043552, 16
0.134895, 25
0.039196, 17
0.132415, 25
0.040832, 18
0.131100, 25
0.086749, 19
0.133228, 25
0.134324, 19
0.132989, 25
0.182003, 19
0.136036, 25
0.173803, 18
0.133342, 25
0.156422, 17
0.133092, 25
0.140780, 16
0.138410, 25
0.126702, 16
0.139807, 25
0.114032, 16
0.143134, 25
0.102629, 16
0.141905, 25
0.092366, 16
0.142952, 25
0.083129, 16
0.143895, 25
0.074816, 16
0.139416, 25
0.067335, 16
0.140712, 25
0.060601, 16
0.140792, 25
0.054541, 16
0.146515, 25
0.049087, 16
0.143790, 25
0.044178, 17
0.147058, 25
0.054760, 18
0.142352, 25
0.049284, 18
0.140154, 25
0.103180, 19
0.150628, 25
0.139015, 19
0.138108, 24
0.189820, 19
0.125978, 24
0.184171, 18
0.116059, 24
0.165754, 17
0.106119, 24
0.149179, 16
0.098926, 24
0.134261, 16
0.093344, 24
0.120835, 16
0.085690, 24
0.108751, 16
0.078788, 24
0.103139, 16
0.071742, 24
0.092825, 16
0.067111, 24
0.083543, 16
0.060399, 24
0.075188, 16
0.054360, 24
0.067670, 16
0.049757, 24
0.060903, 16
0.061286, 25
0.054812, 16
0.068242, 25
0.049331, 16
0.074380, 25
0.049160, 17
0.081093, 25
0.055355, 18
0.089330, 25
0.062320, 18
0.097873, 25
0.066614, 18
0.103180, 25
0.059953, 18
0.103871, 25
0.069747, 18
0.109830, 25
0.076105, 18
0.107856, 25
0.098495, 18
0.107980, 25
0.098645, 18
0.112420, 25
0.109833, 18
0.123400, 25
0.124144, 25
0.098850, 18
0.121640, 25
0.094847, 18
0.121513, 25
0.095889, 18
0.125708, 25
0.102090, 18
0.125174, 25
0.125214, 18
0.125619, 25
0.118248, 18
0.128296, 25
0.117534, 18
0.128550, 25
0.105781, 18
0.126704, 25
0.110992, 18
0.129418, 25
0.114179, 18
0.131715, 25
0.129428, 18
0.131627, 25
0.121748, 18
0.134811, 25
0.115129, 18
0.131240, 25
0.110283, 18
0.134462, 25
0.112588, 18
0.133053, 25
0.114662, 18
0.132832, 25
0.103196, 18
0.131475, 25
0.119192, 18
0.138129, 25
0.107273, 18
0.140663, 25
0.106069, 18
0.142943, 25
0.095463, 18
0.140575, 25
0.091179, 18
0.142864, 25
0.099709, 18
0.141661, 25
0.100264, 18
0.143841, 25
0.096904, 18
0.144552, 25
0.093096, 18
0.144247, 25
0.108787, 18
0.146169, 25
0.097908, 18
0.149028, 25
0.105764, 18
0.150315, 25
0.112835, 18
0.136964, 24
0.106815, 18
0.124101, 24
0.107244, 18
0.113372, 24
0.113186, 18
0.102035, 24
0.117657, 18
0.092665, 24
0.111155, 18
0.084231, 24
0.105302, 18
0.078351, 24
0.128105, 18
0.073037, 24
0.134343, 18
0.067414, 24
0.135908, 18
0.062353, 24
0.132317, 18
0.058660, 24
0.141308, 18
0.057068, 24
0.144824, 18
0.052194, 24
0.145342, 18
0.048655, 24
0.136071, 18
0.057941, 25
0.132990, 18
0.065110, 25
0.125247, 18
0.073837, 25
0.135799, 18
0.082703, 25
0.127774, 18
0.114997, 18
0.103497, 17
0.093148, 16
0.083833, 15
0.075450, 14
0.067905, 13
0.061114, 12
0.074433, 25
0.055003, 11
0.049502, 10
0.044552, 9
0.040097, 9
0.036087, 9
0.032479, 9
0.029231, 9
0.026308, 9
0.023677, 9
0.021309, 9
0.066990, 24
0.019178, 9
0.017260, 9
0.015534, 9
0.013981, 9
0.012583, 9
0.011325, 9
0.010192, 9
0.009173, 9
0.008256, 9
0.007430, 9
0.060291, 23
0.006687, 9
0.006018, 9
0.005417, 9
0.004875, 9
0.004387, 9
0.003949, 9
0.003554, 9
0.003198, 9
0.002879, 9
0.002591, 9
0.054262, 22
0.002332, 9
0.002098, 9
0.001889, 9
0.001700, 9
0.001530, 9
0.001377, 9
0.001239, 9
0.001115, 9
0.001004, 9
0.000903, 9
0.048835, 21
0.000813, 9
0.000732, 9
0.000659, 9
0.000593, 9
0.000533, 9
0.000480, 9
0.000432, 9
